:woman_construction_worker: | E3BF5D
:man_construction_worker: | E1C25F
:guard: | A47E49
:woman_guard: | 916542
:man_guard: | 8B6B53
:detective: | 787871
:woman_detective: | 85766A
:man_detective: | 89766C
:health_worker: | CAA879
:woman_health_worker: | CFA76F
:man_health_worker: | BA9F73
:farmer: | AA8F5E
:woman_farmer: | AC936F
:man_farmer: | B2955F
:cook: | CCB99B
:woman_cook: | D5BD9C
:man_cook: | D2BF9E
:student: | BF9E55
:woman_student: | BF9348
:man_student: | AF9545
:singer: | E29150
:woman_singer: | C29181
:man_singer: | B1A197
:teacher: | C9B27E
:woman_teacher: | CBA373
:man_teacher: | CCB47B
:factory_worker: | A19C96
:woman_factory_worker: | 9E968D
:man_factory_worker: | 959795
:technologist: | CBAC81
:woman_technologist: | CFAC86
:man_technologist: | C5B18D
:office_worker: | D6C7A6
:woman_office_worker: | D3C1A4
:man_office_worker: | D2BF9F
:mechanic: | B3A180
:woman_mechanic: | BBA27D
:man_mechanic: | B1A288
:woman_scientist: | D7B893
:man_scientist: | D3BA9B
:artist: | D4A866
:woman_artist: | D19C68
:man_artist: | C29F6C
:firefighter: | CA974A
:woman_firefighter: | D18E5E
:man_firefighter: | C88F5A
:pilot: | BDA882
:woman_pilot: | C8AB7D
:man_pilot: | C5AB7C
:astronaut: | D2A56E
:woman_astronaut: | D8A76B
:man_astronaut: | D4A567
:judge: | BE9A5F
:woman_judge: | B38F58
:man_judge: | AC9C76
:person_with_veil: | E0CCAE
:woman_with_veil: | E6C89E
:man_with_veil: | E1D1B7
:person_in_tuxedo: | CDAE7A
:woman_in_tuxedo: | CCA465
:man_in_tuxedo: | C7AA64
:person_with_crown: | E1B655
:princess: | E8B551
:prince: | DEBB74
:superhero: | C7A27E
:woman_superhero: | C79E7D
:man_superhero: | B9987A
:supervillain: | C68A4A
:woman_supervillain: | C3863F
:man_supervillain: | CB894A
:ninja: | 766754
:mx_claus: | DAB58E
:mrs_claus: | DFC09C
:santa: | DDB596
:mage: | D99B73
:woman_mage: | B2989D
:man_mage: | A6A29F
:elf: | BC8F56
:woman_elf: | B1925C
:man_elf: | AC9570
:troll: | 8B9A73
:vampire: | AF8A5B
:woman_vampire: | AA8755
:man_vampire: | B88F60
:zombie: | A78E86
:woman_zombie: | 8C8E92
:man_zombie: | A49B97
:genie: | 9EA5BD
:woman_genie: | 939CAA
:man_genie: | 9EA6BE
:merperson: | AF9157
:mermaid: | A59963
:merman: | A99D8A
:fairy: | D4B890
:woman_fairy: | D3BE89
:man_fairy: | C9BB90
:angel: | D6BF95
:pregnant_person: | DF9A6B
:pregnant_woman: | B99198
:pregnant_man: | ACA55A
:breast_feeding: | C1A077
:person_feeding_baby: | DCAC6E
:woman_feeding_baby: | C8A780
:man_feeding_baby: | B8A578
:person_bowing: | E2A558
:woman_bowing: | DAB18F
:man_bowing: | D5B88B
:person_tipping_hand: | EAB373
:woman_tipping_hand: | D4A478
:man_tipping_hand: | BFA373
:person_gesturing_no: | DF9A4D
:woman_gesturing_no: | D1A07A
:man_gesturing_no: | C59F71
:person_gesturing_ok: | E8A04A
:woman_gesturing_ok: | CC9C89
:man_gesturing_ok: | B99F88
:person_raising_hand: | DDA26C
:woman_raising_hand: | CEA17E
:man_raising_hand: | BDA377
:deaf_person: | E2A845
:deaf_woman: | CA9B6B
:deaf_man: | D0AD69
:person_facepalming: | ECA341
:woman_facepalming: | D7A881
:man_facepalming: | CBA372
:person_shrugging: | EAA555
:woman_shrugging: | D5A781
:man_shrugging: | CCA771
:person_pouting: | E3A73D
:woman_pouting: | D9A76E
:man_pouting: | CCB06C
:person_frowning: | E3A340
:woman_frowning: | DAA363
:man_frowning: | D3AA66
:person_getting_haircut: | DDA257
:woman_getting_haircut: | D0A373
:man_getting_haircut: | C0A16F
:person_getting_massage: | E2AC5C
:woman_getting_face_massage: | DCAF79
:man_getting_face_massage: | CBB081
:person_in_steamy_room: | E2B984
:woman_in_steamy_room: | E3C085
:man_in_steamy_room: | DBC288
:nail_care: | D59966
:selfie: | CD9163
:dancer: | C8804D
:man_dancing: | AB7B4D
:people_with_bunny_ears_partying: | BD882F
:women_with_bunny_ears_partying: | B48749
:men_with_bunny_ears_partying: | A7843C
:levitate: | 7C625E
:person_in_manual_wheelchair: | 965F5A
:woman_in_manual_wheelchair: | 777288
:man_in_manual_wheelchair: | 747B80
:person_in_manual_wheelchair_facing_right: | 987873
:man_in_manual_wheelchair_facing_right: | 7D7980
:woman_in_manual_wheelchair_facing_right: | 7A7888
:person_in_motorized_wheelchair: | 906E78
:woman_in_motorized_wheelchair: | 7D708E
:man_in_motorized_wheelchair: | 757886
:person_in_motorized_wheelchair_facing_right: | 916E75
:man_in_motorized_wheelchair_facing_right: | 716F8A
:woman_in_motorized_wheelchair_facing_right: | 666E8C
:person_walking: | 666E8C
:man_walking: | 768D98
:person_walking_facing_right: | A98287
:woman_walking_facing_right: | 8782A6
:man_walking_facing_right: | 6F919D
:person_with_probing_cane: | AD8481
:woman_with_probing_cane: | 8681A1
:man_with_probing_cane: | 768893
:person_with_white_cane_facing_right: | 9F7D85
:man_with_white_cane_facing_right: | 758397
:woman_with_white_cane_facing_right: | 707FA1
:person_kneeling: | A68386
:woman_kneeling: | 8481A2
:man_kneeling: | 758C97
:person_kneeling_facing_right: | A18188
:woman_kneeling_facing_right: | 8683A1
:man_kneeling_facing_right: | 798C96
:person_running: | BD8A75
:woman_running: | A88587
:man_running: | 889098
:person_running_facing_right: | BB8A76
:woman_running_facing_right: | B88670
:man_running_facing_right: | 8F8C81
:person_standing: | B76F5F
:woman_standing: | 88739C
